"week","id","scheduled","home_team","away_team","home_points","away_points","home_total_rushing_yards","away_total_rushing_yards","home_total_passing_yards","away_total_passing_yards"
"1","018556f9-1977-4a0b-8244-20cad15df9a4","2020-09-13T20:05:00+00:00","Bengals","Chargers",13,16,122,155,193,208
"1","10339048-8c6b-43c7-ae7c-d68cf44417d3","2020-09-15T02:20:00+00:00","Broncos","Titans",14,16,107,130,216,249
"1","213b8eda-43d8-4e62-9951-ed4c605fca0d","2020-09-13T17:00:00+00:00","Vikings","Packers",34,43,134,158,259,364
"1","24734cde-bf1b-46e5-ad50-d61e47aeca26","2020-09-13T17:00:00+00:00","Jaguars","Colts",27,20,91,88,173,363
"1","5a5b0a83-1765-4729-b914-73ff7d4c4c89","2020-09-13T17:00:00+00:00","Panthers","Raiders",30,34,129,133,269,239
"1","6b5b649e-7134-4e3e-a637-4347f32b732e","2020-09-11T00:20:00+00:00","Chiefs","Texans",34,20,166,118,211,253
"1","aa091a72-7c29-450b-8f21-cb3b77b36ac1","2020-09-14T23:10:00+00:00","Giants","Steelers",16,26,29,141,279,229
"1","b1269b50-793b-4cd4-b127-04d39b13626d","2020-09-14T00:20:00+00:00","Rams","Cowboys",20,17,153,136,275,266
"1","b506a07c-4d7d-41e8-87f6-732c4f6d09fc","2020-09-13T17:00:00+00:00","Bills","Jets",27,17,98,52,312,215
"1","c2b24b1a-98c5-465c-8f83-b82e746b4fcf","2020-09-13T17:00:00+00:00","Falcons","Seahawks",25,38,72,84,450,322
"1","d24d9aab-74ce-44b6-960b-7bf905a416c1","2020-09-13T17:00:00+00:00","Football Team","Eagles",27,17,80,57,178,270
"1","d8655663-9853-4425-96e2-b2d7f5cc23db","2020-09-13T20:25:00+00:00","49ers","Cardinals",20,24,123,180,259,230
"1","de740b16-4d86-4a04-afd0-61b3092799e1","2020-09-13T17:00:00+00:00","Patriots","Dolphins",21,11,217,87,155,191
"1","e05cf0a5-89ac-4b68-b7fd-aa018b3737e9","2020-09-13T17:00:00+00:00","Ravens","Browns",38,6,111,138,284,189
